"OldSource","CurrentSameName","ReviewStatus"
"ChampionCodexGump.cs","","No same-name custom source; check renamed or native equivalent"
"ChampionScrollCombineGump.cs","","No same-name custom source; check renamed or native equivalent"
"CleanupTrashBag.cs","","No same-name custom source; check renamed or native equivalent"
"DungeonPortal.cs","","No same-name custom source; check renamed or native equivalent"
"EvolvingStarterWeapons.cs","","No same-name custom source; check renamed or native equivalent"
"HavenAbyssTrial.cs","HavenAbyssTrial.cs","Candidate counterpart; behavior comparison required"
"HavenAncientHellhound.cs","","No same-name custom source; check renamed or native equivalent"
"HavenAnimalLoreGump.cs","HavenAnimalLoreGump.cs","Candidate counterpart; behavior comparison required"
"HavenArcaneSupplies.cs","","No same-name custom source; check renamed or native equivalent"
"HavenAstralGrowth.cs","","No same-name custom source; check renamed or native equivalent"
"HavenAstralRewards.cs","","No same-name custom source; check renamed or native equivalent"
"HavenBankPayments.cs","","No same-name custom source; check renamed or native equivalent"
"HavenBankStorage.cs","","No same-name custom source; check renamed or native equivalent"
"HavenBossLair.cs","","No same-name custom source; check renamed or native equivalent"
"HavenBotDungeonSocial.cs","","No same-name custom source; check renamed or native equivalent"
"HavenChampionPendant.cs","HavenChampionPendant.cs","Candidate counterpart; behavior comparison required"
"HavenChelonian.cs","","No same-name custom source; check renamed or native equivalent"
"HavenCommonsDecoration.cs","","No same-name custom source; check renamed or native equivalent"
"HavenCommunityCenter.cs","","No same-name custom source; check renamed or native equivalent"
"HavenCompanion.cs","HavenCompanion.cs","Candidate counterpart; behavior comparison required"
"HavenCompanionAnimalHandling.cs","HavenCompanionAnimalHandling.cs","Candidate counterpart; behavior comparison required"
"HavenCompanionBard.cs","","No same-name custom source; check renamed or native equivalent"
"HavenCompanionCaster.cs","","No same-name custom source; check renamed or native equivalent"
"HavenCompanionCombatGump.cs","","No same-name custom source; check renamed or native equivalent"
"HavenCompanionExpedition.cs","","No same-name custom source; check renamed or native equivalent"
"HavenCompanionGear.cs","","No same-name custom source; check renamed or native equivalent"
"HavenCompanionGearAssignment.cs","","No same-name custom source; check renamed or native equivalent"
"HavenCompanionGearGrowth.cs","","No same-name custom source; check renamed or native equivalent"
"HavenCompanionGold.cs","","No same-name custom source; check renamed or native equivalent"
"HavenCompanionGump.cs","","No same-name custom source; check renamed or native equivalent"
"HavenCompanionIdleMissions.cs","","No same-name custom source; check renamed or native equivalent"
"HavenCompanionInventory.cs","","No same-name custom source; check renamed or native equivalent"
"HavenCompanionInventoryRange.cs","","No same-name custom source; check renamed or native equivalent"
"HavenCompanionMasteries.cs","","No same-name custom source; check renamed or native equivalent"
"HavenCompanionNotoriety.cs","HavenCompanionNotoriety.cs","Candidate counterpart; behavior comparison required"
"HavenCompanionPetCommands.cs","","No same-name custom source; check renamed or native equivalent"
"HavenCompanionPetsGump.cs","HavenCompanionPetsGump.cs","Candidate counterpart; behavior comparison required"
"HavenCompanionSkinning.cs","HavenCompanionSkinning.cs","Candidate counterpart; behavior comparison required"
"HavenCompanionTaming.cs","HavenCompanionTaming.cs","Candidate counterpart; behavior comparison required"
"HavenCompanionWeaponEvolution.cs","","No same-name custom source; check renamed or native equivalent"
"HavenContent.cs","","No same-name custom source; check renamed or native equivalent"
"HavenCoraCorgul.cs","","No same-name custom source; check renamed or native equivalent"
"HavenCorsairGalleon.cs","","No same-name custom source; check renamed or native equivalent"
"HavenCraftStation.cs","","No same-name custom source; check renamed or native equivalent"
"HavenCustomMounts.cs","","No same-name custom source; check renamed or native equivalent"
"HavenCustomPetPack.cs","","No same-name custom source; check renamed or native equivalent"
"HavenDoom.cs","","No same-name custom source; check renamed or native equivalent"
"HavenDungeonCrew.cs","","No same-name custom source; check renamed or native equivalent"
"HavenDungeonNavigation.cs","","No same-name custom source; check renamed or native equivalent"
"HavenEstateSettlement.cs","","No same-name custom source; check renamed or native equivalent"
"HavenEstateTrial.cs","","No same-name custom source; check renamed or native equivalent"
"HavenExplorerRewards.cs","HavenExplorerRewards.cs","Candidate counterpart; behavior comparison required"
"HavenFellowshipGump.cs","","No same-name custom source; check renamed or native equivalent"
"HavenFieldGuide.cs","","No same-name custom source; check renamed or native equivalent"
"HavenFieldGuideContent.cs","","No same-name custom source; check renamed or native equivalent"
"HavenFishingFleet.cs","","No same-name custom source; check renamed or native equivalent"
"HavenFreeSkills.cs","","No same-name custom source; check renamed or native equivalent"
"HavenFrontierBattle.cs","","No same-name custom source; check renamed or native equivalent"
"HavenFrontierHub.cs","","No same-name custom source; check renamed or native equivalent"
"HavenFrontierSupport.cs","","No same-name custom source; check renamed or native equivalent"
"HavenGearExperience.cs","","No same-name custom source; check renamed or native equivalent"
"HavenGuardPatrol.cs","","No same-name custom source; check renamed or native equivalent"
"HavenGuildCastle.cs","","No same-name custom source; check renamed or native equivalent"
"HavenGuildCrafting.cs","","No same-name custom source; check renamed or native equivalent"
"HavenGuildCrew.cs","","No same-name custom source; check renamed or native equivalent"
"HavenHomePatrolBoard.cs","","No same-name custom source; check renamed or native equivalent"
"HavenHouseCartography.cs","HavenHouseCartography.cs","Candidate counterpart; behavior comparison required"
"HavenHousing.cs","","No same-name custom source; check renamed or native equivalent"
"HavenIslandDecoration.cs","","No same-name custom source; check renamed or native equivalent"
"HavenIslandDecorationPlan.cs","","No same-name custom source; check renamed or native equivalent"
"HavenIslandFinishing.cs","","No same-name custom source; check renamed or native equivalent"
"HavenIslandSettlement.cs","","No same-name custom source; check renamed or native equivalent"
"HavenIslandSettlementPlan.cs","","No same-name custom source; check renamed or native equivalent"
"HavenIslandTrial.cs","","No same-name custom source; check renamed or native equivalent"
"HavenItemPreviewGump.cs","","No same-name custom source; check renamed or native equivalent"
"HavenJewelrySets.cs","HavenJewelrySets.cs","Candidate counterpart; behavior comparison required"
"HavenLegendaryDrops.cs","","No same-name custom source; check renamed or native equivalent"
"HavenLegendaryPetSkills.cs","HavenLegendaryPetSkills.cs","Candidate counterpart; behavior comparison required"
"HavenLevelingCape.cs","","No same-name custom source; check renamed or native equivalent"
"HavenLibraryNavigation.cs","","No same-name custom source; check renamed or native equivalent"
"HavenListGump.cs","","No same-name custom source; check renamed or native equivalent"
"HavenMarkEquipment.cs","","No same-name custom source; check renamed or native equivalent"
"HavenMarket.cs","","No same-name custom source; check renamed or native equivalent"
"HavenMarketDirectory.cs","","No same-name custom source; check renamed or native equivalent"
"HavenMarketExpansion.cs","","No same-name custom source; check renamed or native equivalent"
"HavenMarketPets.cs","","No same-name custom source; check renamed or native equivalent"
"HavenMarketProduction.cs","","No same-name custom source; check renamed or native equivalent"
"HavenMarketStandards.cs","","No same-name custom source; check renamed or native equivalent"
"HavenMarkRewards.cs","","No same-name custom source; check renamed or native equivalent"
"HavenMasteryDefense.cs","","No same-name custom source; check renamed or native equivalent"
"HavenMissionDuration.cs","","No same-name custom source; check renamed or native equivalent"
"HavenMissionJournal.cs","","No same-name custom source; check renamed or native equivalent"
"HavenMissionReportGump.cs","","No same-name custom source; check renamed or native equivalent"
"HavenMissionResources.cs","","No same-name custom source; check renamed or native equivalent"
"HavenMyStatsGump.cs","","No same-name custom source; check renamed or native equivalent"
"HavenNewcomerLuck.cs","","No same-name custom source; check renamed or native equivalent"
"HavenNewcomerTraining.cs","","No same-name custom source; check renamed or native equivalent"
"HavenOriginalDungeons.cs","","No same-name custom source; check renamed or native equivalent"
"HavenPatrolNoticeArea.cs","","No same-name custom source; check renamed or native equivalent"
"HavenPetAbilities.cs","","No same-name custom source; check renamed or native equivalent"
"HavenPetAppearance.cs","HavenPetAppearance.cs","Candidate counterpart; behavior comparison required"
"HavenPetDefenses.cs","HavenPetDefenses.cs","Candidate counterpart; behavior comparison required"
"HavenPetDye.cs","","No same-name custom source; check renamed or native equivalent"
"HavenPetHotkeys.cs","","No same-name custom source; check renamed or native equivalent"
"HavenPetLoreGump.cs","HavenPetLoreGump.cs","Candidate counterpart; behavior comparison required"
"HavenPetPool.cs","","No same-name custom source; check renamed or native equivalent"
"HavenPetRarity.cs","HavenPetRarity.cs","Candidate counterpart; behavior comparison required"
"HavenPetRecovery.cs","","No same-name custom source; check renamed or native equivalent"
"HavenPetScrollBundle.cs","","No same-name custom source; check renamed or native equivalent"
"HavenPetSignatures.cs","HavenPetSignatures.cs","Candidate counterpart; behavior comparison required"
"HavenPetSkillCapsGump.cs","","No same-name custom source; check renamed or native equivalent"
"HavenPetSupplies.cs","","No same-name custom source; check renamed or native equivalent"
"HavenPetTraining.cs","","No same-name custom source; check renamed or native equivalent"
"HavenPirateBroadLadders.cs","","No same-name custom source; check renamed or native equivalent"
"HavenPirateCompound.cs","","No same-name custom source; check renamed or native equivalent"
"HavenPirateDirectLadders.cs","","No same-name custom source; check renamed or native equivalent"
"HavenPirateEstate.cs","","No same-name custom source; check renamed or native equivalent"
"HavenPirateFloorAccess.cs","","No same-name custom source; check renamed or native equivalent"
"HavenPirateHeadquarters.cs","","No same-name custom source; check renamed or native equivalent"
"HavenPirateHomeTravel.cs","","No same-name custom source; check renamed or native equivalent"
"HavenPirateHouseLayout.cs","","No same-name custom source; check renamed or native equivalent"
"HavenPirateHouseMigration.cs","","No same-name custom source; check renamed or native equivalent"
"HavenPirateWorkshops.cs","","No same-name custom source; check renamed or native equivalent"
"HavenPlayerStats.cs","","No same-name custom source; check renamed or native equivalent"
"HavenPrizeShips.cs","","No same-name custom source; check renamed or native equivalent"
"HavenProvisioner.cs","","No same-name custom source; check renamed or native equivalent"
"HavenQuestGear.cs","","No same-name custom source; check renamed or native equivalent"
"HavenRarePets.cs","","No same-name custom source; check renamed or native equivalent"
"HavenRecovery.cs","HavenRecovery.cs","Candidate counterpart; behavior comparison required"
"HavenRegionalMissions.cs","HavenRegionalMissions.cs","Candidate counterpart; behavior comparison required"
"HavenReleaseOperations.cs","","No same-name custom source; check renamed or native equivalent"
"HavenRepairAll.cs","","No same-name custom source; check renamed or native equivalent"
"HavenRepairBench.cs","","No same-name custom source; check renamed or native equivalent"
"HavenResourceCatalog.cs","","No same-name custom source; check renamed or native equivalent"
